group	ret	mz	EC_022024	adduct	neutralMass
M430_R339_1563	339.4655	429.984651882885	2352	[M-H]-	429.984651882885
M430_R515_1566	514.625	430.268921479122	480	[M-H]-	430.268921479122
M430_R600_1567	599.733	430.235872838199	1948.5	[M-H]-	430.235872838199
M430_R726_1568	725.927	430.290229544615	2789	[M-H]-	430.290229544615
M430_R825_1569	824.885	430.300055392203	6309.5	[M-H]-	430.300055392203
M430_R602_1570	602.4595	430.305273281328	1045	[M-H]-	430.305273281328
M430_R246_1571	246.36	430.29074264575	554	[M-H]-	430.29074264575
M431_R889_1572	889.209	430.760061821278	568	[M-H]-	430.760061821278
M431_R324_1573	324.047	430.98189917939	215	[M-H]-	430.98189917939
M431_R530_1575	530.243	431.042276978535	980.5	[M-H]-	431.042276978535
M431_R838_1576	838.263	431.263982830545	1487	[M-H]-	431.263982830545
M431_R318_1578	318.388	431.202695618977	424	[M-H]-	431.202695618977
M431_R810_1579	810.277	431.322329634075	883.5	[M-H]-	431.322329634075
M431_R704_1580	704.4365	431.303245719308	1597	[M-H]-	431.303245719308
M431_R602_1581	602.4595	431.308301464087	493.5	[M-H]-	431.308301464087
M432_R183_1582	183.288	431.64902140465	210.5	[M-H]-	431.64902140465
M432_R890_1583	890.452	431.760375194959	825.5	[M-H]-	431.760375194959
M432_R382_1585	382.063	431.996417802975	794	[M-H]-	431.996417802975
M432_R532_1587	531.545	432.044748872652	187	[M-H]-	432.044748872652
M432_R885_1589	885.481	432.247344963627	235.5	[M-H]-	432.247344963627
M432_R207_1590	206.562	432.211945585092	1155	[M-H]-	432.211945585092
M432_R393_1591	393.381	432.321384570335	262	[M-H]-	432.321384570335
M432_R631_1592	631.068	432.319850605406	12144	[M-H]-	432.319850605406
M432_R763_1593	763.485	432.304774630522	8128	[M-H]-	432.304774630522
M432_R853_1594	853.389	432.339758590728	8502	[M-H]-	432.339758590728
M433_R892_1595	891.694	432.769352614738	648	[M-H]-	432.769352614738
M433_R382_1597	382.063	432.996152687307	222	[M-H]-	432.996152687307
M433_R203_1598	202.808	433.146808901313	447.5	[M-H]-	433.146808901313
M433_R834_1599	833.518	433.277244766585	15139	[M-H]-	433.277244766585
M433_R613_1600	613.356	433.236887919017	481	[M-H]-	433.236887919017
M433_R335_1601	335.367	433.225803501014	419.5	[M-H]-	433.225803501014
