"int","exp_modulo","LIST_ID","INCHIKEY","FORMULA","SMILES","NumHDonors","NumHAcceptors","TYPE","MD","KMD","modulo","parent","rep_unit","rep_mass","rep_num","residual","residual_charge","residual_mass","MONOISOTOPIC_MASS","HS_num","Homologues","exp_KMD","mz","ret","PREFERRED_NAME","ACRONYM"
5699,27.9973518988739,"OECDPFAS_list_22012019.csv","AJMAYLFJZQYRHN-UHFFFAOYSA-N","C12H5F21O3S","OS(=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F",1,2,"Suspect",-0.0375934,-0.002517874,28.00072932,"C12H5F21O3S","CF2",49.99680644,10,"C2H5F1O3S1","neutral",127.9943432,627.9624066,11,3,0.000859762440086342,627.959029178874,641.973,"10:2 Fluorotelomer sulfonic acid",NA
512,28.008434683358,"PFASSTRUCTV5_Chemical List -2024-03-04.csv","FROJKGLPWQKKOL-UHFFFAOYSA-N","C3H3F3O2","OCC(=O)C(F)(F)F",1,2,"Suspect",0.008514,-0.01669058,28.01490112,"C3H3F3O2","CF2",49.99680644,1,"C2H3F1O2","neutral",78.01170756,128.008514,12,3,-0.0102237299599039,128.002047563358,253.863,"1,1,1-Trifluoro-3-hydroxypropan-2-one",NA
734,28.012135439752,"PFASMASTER_Chemical List -2024-01-11.csv","XVQMYDZWOXOBMD-UHFFFAOYSA-N","C9H6F15O3P","OP(O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F",2,1,"Suspect",-0.018497,-0.012034202,28.01024504,"C9H6F15O3P","CF2",49.99680644,7,"C2H6F1O3P1","neutral",128.0038589,477.981503,12,3,-0.0139247227407964,477.983393399752,479.495,"(3,3,4,4,5,5,6,6,7,7,8,8,9,9,9-pentadecafluorononyl)phosphonic acid",NA
1373.5,28.010800748876,"PFAS Suspect List_v1.8.csv","VJZRKDTXAPCWAF-UHFFFAOYSA-N","C12H3F21O2","C(C(C(C(C(C(C(C(C(C(C(=O)O)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)C(F)(F)F",1,1,"Suspect",-0.020228,-0.01669062,28.01490116,"C12H3F21O2","CF2",49.99680644,10,"C2H3F1O2","neutral",78.01170756,577.979772,12,3,-0.0125899466110013,577.975671588876,632.213,"Dihydrogen-substituted perfluoroDodecanoic Acid;perfluorobutane carboxylate (+2H -2F), 2-Hydro substituted perfluorocarboxylates",NA
754,29.000365858667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,3,-0.00221826515024759,428.974817378667,324.047,NA,NA
886,29.001207051163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,3,-0.0030595113776144,528.969271451163,565.688,NA,NA
885,29.000738987568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,3,-0.00259141788490069,628.962416267568,640.609,NA,NA
14825.5,33.338880866057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,3,-0.341010396400293,533.306945266057,547.9655,NA,NA
1192.5,33.342132609034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,3,-0.344262347083259,583.307003449034,641.973,NA,NA
1688,33.339603468484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,3,-0.341733044983698,633.301280748484,718.116,NA,NA
7049,37.525230265129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,3,0.472372800288554,587.490101105129,686.2045,NA,NA
1991,37.523633837719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,3,0.473969329670922,737.478923997719,797.964,NA,NA
1116,37.5239372303799,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,3,0.473665917630569,837.47284027038,847.22,NA,NA
7701.5,38.262710404209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,3,-0.265154445541611,338.243549044209,525.035,NA,NA
943.5,38.265473739733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,3,-0.267917957574412,388.243118819733,539.352,NA,NA
8354,38.265447524192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,3,-0.267891740358891,438.239899044192,718.116,NA,NA
4369,42.029969258423,"PFASSTRUCTV5_Chemical List -2024-03-04.csv","DQOGDQIDOONUSK-UHFFFAOYSA-N","C4H5F3O2","CC(C(O)=O)C(F)(F)F",1,1,"Suspect",0.024164,-0.033235833,42.03055112,"C4H5F3O2","CF2",49.99680644,1,"C3H5F1O2","neutral",92.02735762,142.024164,17,3,-0.0326539344689536,142.023582138423,226.833,"3,3,3-Trifluoro-2-methylpropanoic acid",NA
2393.5,42.02961142219,"PFASMASTER_Chemical List -2024-01-11.csv","DOCGOFVOYOGHQA-UHFFFAOYSA-N","C7H2F12N2","FC(F)(F)C1(NC(N=C1)(C(F)(F)F)C(F)(F)F)C(F)(F)F",1,2,"Suspect",0.002636,-0.024481514,42.02179736,"C7H2F12N2","CF2",49.99680644,6,"C1H2N2","neutral",42.02179806,342.002636,17,3,-0.0322960753790653,342.01045006219,253.863,"2,2,5,5-Tetrakis(trifluoromethyl)-3-imidazoline",NA
1427.5,42.027290562276,"PFASMASTER_Chemical List -2024-01-11.csv","GXAYDBPZTYVRQO-UHFFFAOYSA-N","C13H8Cl2F8N4","CCNC1=NC(=NN1C1=C(Cl)C=C(C=C1Cl)C(F)(F)F)C(F)(F)C(F)(F)F",1,4,"Suspect",-0.000173,-0.028059863,42.02537548,"C13H8Cl2F8N4","CF2",49.99680644,4,"C9H8N4Cl2","neutral",242.0126016,441.999827,17,3,-0.0299750672195387,442.001742082276,406.117,"1H-​1,​2,​4-​Triazol-​5-​amine, 1-​[2,​6-​dichloro-​4-​(trifluoromethyl)​phenyl]​-​N-​ethyl-​3-​(1,​1,​2,​2,​2-​pentafluoroethyl)​-",NA
1052.5,48.50677369383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,3,0.490127922428542,548.47483809383,690.761,NA,NA
1145,48.5074575631299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,3,0.489444009446288,698.46594128313,727.228,NA,NA
1431,48.509894481203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,3,0.487006935714476,748.465184641203,780.718,NA,NA
4678.5,48.981172116237,"TargetsList_20240719.csv","FUVKFLJWBHVMHX-UHFFFAOYSA-N","C4H2F9NO2S","[H]N([H])S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F",NA,NA,"Target",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,298.9662529,19,6,0.0156991976895711,298.965204316237,213.318,"Perfluorobutanesulfonamide","FBSA"
14099,48.981344846015,"TargetsList_20240719.csv","KTCODRNGNIXYDE-UHFFFAOYSA-N","C5H2F11NO2S","NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F",NA,NA,"Target",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,348.9630593,19,6,0.0155264568783764,348.962183486015,235.845,"Perfluoropentane sulfonamide","FPeSA"
9486,48.980620491484,"TargetsList_20240719.csv","WDZLGCSJJWEQJO-UHFFFAOYSA-N","C6H2F13NO2S","NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F",NA,NA,"Target",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,398.9598656,19,6,0.0162508576777896,398.958265571484,275.518,"Perfluorohexanesulfonamide","FHxSA"
3746.5,48.980306997816,"TargetsList_20240719.csv","ZYBNLNNCZHCXAC-UHFFFAOYSA-N","C7H2F15NO2S","NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F",NA,NA,"Target",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,448.9566719,19,6,0.0165643713702934,448.954758517816,360.838,"Perfluoroheptane sulfonamide","FHpSA"
5223,48.979793502262,"TargetsList_20240719.csv","RRRXPPIDPYTNJG-UHFFFAOYSA-N","C8H2F17NO2S","NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F",NA,NA,"Target",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,498.9534783,19,6,0.0170778997239722,498.951051462262,499.011,"Perfluorooctanesulfonamide","FOSA"
6111,48.978040475734,"TargetsList_20240719.csv","YUXIIBHHAPNFCQ-UHFFFAOYSA-N","C10H2F21NO2S","NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F",NA,NA,"Target",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,598.9470909,19,6,0.0188310382269492,598.942911315734,636.518,"Perfluoro-1-decanesulfonamide","FDSA"
830.5,49.33745314763,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,3,-0.340604591253964,449.31190466763,403.288,NA,NA
1852,49.33307750671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,3,-0.336228670838636,499.30433546671,620.1725,NA,NA
2478,49.335013024944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,3,-0.338164312704521,549.303077424944,664.4125,NA,NA
8595,49.965479813431,"TargetsList_20240719.csv","XBWQFDNGNOOMDZ-UHFFFAOYSA-N","C3HF7O3S","OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)F",NA,NA,"Target",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,249.9534622,21,4,0.0313286275660687,249.952705573431,204.311,"Perfluoropropanesulfonic acid","PFPrS"
23923,49.9650405926,"TargetsList_20240719.csv","QZHDEAJFRJCDMF-UHFFFAOYSA-N","C6HF13O3S","OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F",NA,NA,"Target",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,399.9438812,21,4,0.0317678764523635,399.9426856726,293.327,"Perfluorohexanesulfonic acid","PFHxS"
18477,49.963300420466,"TargetsList_20240719.csv","MNEXVZFQQPKDHC-UHFFFAOYSA-N","C9HF19O3S","OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F",NA,NA,"Target",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,549.9343002,21,4,0.0335081597404496,549.931364820466,602.458,"Perfluorononanesulfonic acid","PFNS"
14523,49.96307423715,"TargetsList_20240719.csv","HYWZIAVPBSTISZ-UHFFFAOYSA-N","C10HF21O3S","OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F",NA,NA,"Target",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,599.9311065,21,4,0.0337343575039313,599.92794507715,632.43,"Perfluorodecanesulfonic acid","PFDS"
