mz,ret,int,mod,kmd,HS_num
1051.58573952173,719.417,1141,1.65280428172991,0.3470901449341,140
1001.59265865195,417.432,16101,1.65652985195004,0.343364336742184,142
1051.60425646717,637.883,581,1.67132122716998,0.328572016718908,143
1051.61564498752,453.459,1387.5,1.68270974751999,0.317182768924113,144
1051.63946024012,866.368,1874.5,1.70652500011988,0.293365995118165,145
1151.64916751001,795.503,866,1.7226193900101,0.277270577194258,146
951.671659299083,852.156,1688,1.73233693908298,0.267552407410335,147
1001.68010478379,887.965,676,1.74397598378994,0.255912619256037,148
1051.6940778027,855.855,743,1.76114256269989,0.238744943826077,149
1151.79819201619,779.486,950,1.87164389618988,0.128236552032604,150
501.931440657357,522.432,714.5,1.96337625735697,0.0364983314352685,151
551.9285392321,602.458,1189,1.96366839209998,0.0362061780319891,151
751.915857682852,780.718,709,1.96376108285199,0.0361134813595072,151
451.93544856834,387.72,775,1.96419060834,0.0356839284353327,151
401.941078427735,286.0085,1960,1.96662690773502,0.0332474734209995,151
601.931058750265,633.1115,1170,1.96938147026503,0.030492734942527,156
251.982196167471,277.177,1986,1.99816396747099,0.00170839924652455,157
202.007424312523,214.8205,19697.5,2.020198552523,-0.0203275932707641,158
302.083815827439,554.712,812,2.10297718743902,-0.103111515695275,159
302.133910746072,196.8,561,2.15307210607199,-0.153209634155189,160
352.198299559788,208.736,7720,2.22065447978798,-0.220796324714229,161
252.207117919818,614.037,6301.5,2.22308571981799,-0.223227720040313,161
302.222267330621,648.546,21152,2.24142869062098,-0.24157186250568,163
352.222411347978,386.306,994.5,2.24476626797798,-0.244909653051423,163
352.223299016064,293.327,11456,2.245653936064,-0.245797377837448,163
352.225686079683,699.88,109636,2.24804099968298,-0.24818459393083,166
452.238452993402,349.517,1038,2.267195033402,-0.267339851119118,167
552.247558318159,193.797,2481,2.282687478159,-0.282833285460356,168
752.235761356994,454.689,913,2.28366475699397,-0.283810626719287,168
502.256061252315,845.987,788.5,2.28799685231502,-0.288142998754154,170
452.273097859047,641.973,975,2.30183989904702,-0.301986929714644,171
402.294426655446,827.51,3499,2.31997513544599,-0.320123324506881,172
502.296460236141,428.0365,24572.5,2.328395836141,-0.328544563076491,173
552.301242419453,635.839,2509.5,2.33637157945304,-0.336520815841368,174
452.307739997848,784.414,2708,2.33648203784799,-0.33663128129183,174
452.311086890955,403.288,5892.5,2.33982893095498,-0.339978388182601,174
502.315661923104,682.943,4489,2.34759752310401,-0.347747476552684,177
502.319524697144,598.3705,3649.5,2.351460297144,-0.351610497328409,177
752.309388080181,743.799,930,2.35729148018095,-0.35744205283379,179
602.321400255269,689.458,41423,2.35972297526905,-0.359873703234257,179
552.346681769885,811.509,6571,2.38181092988498,-0.381963068724531,181
652.342227964448,665.8355,1457,2.38374424444805,-0.383896506778569,181
602.346958907225,787.4935,16169,2.38528162722503,-0.385433987756414,181
652.36973828812,790.575,3315,2.41125456811994,-0.411408587680057,184
652.373033929503,858.322,8519.5,2.41455020950298,-0.414704439573143,184
602.377259280721,613.356,1486,2.41558200072097,-0.415736296697105,184
802.38709240931,641.973,3867,2.43818936930995,-0.438345109338115,187
702.40220118255,757.333,1858,2.44691102255001,-0.447067319676194,188
852.394780827408,690.761,748,2.44907134740799,-0.44922778252544,188
